name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_common_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title
1928.SRS011273.SRX020669.SRR045343	Sample 1928.SRS011273.SRX020669.SRR045343			UBERON:oral cavity	UBERON:saliva	UBERON:oral cavity	97	urban biome	host-associated habitat		USA	human	700015260	38.98	-77.11	700015260	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011275.SRX020666.SRR044913	Sample 1928.SRS011275.SRX020666.SRR044913			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	host-associated habitat		USA	human	700015265	38.98	-77.11	700015265	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011275.SRX020669.SRR045295	Sample 1928.SRS011275.SRX020669.SRR045295			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	host-associated habitat		USA	human	700015265	38.98	-77.11	700015265	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011277.SRX020515.SRR045360	Sample 1928.SRS011277.SRX020515.SRR045360			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	host-associated habitat		USA	human	700015268	38.98	-77.11	700015268	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011277.SRX020570.SRR045450	Sample 1928.SRS011277.SRX020570.SRR045450			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	host-associated habitat		USA	human	700015268	38.98	-77.11	700015268	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011279.SRX020666.SRR044988	Sample 1928.SRS011279.SRX020666.SRR044988			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	host-associated habitat		USA	human	700015271	38.98	-77.11	700015271	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011279.SRX020669.SRR045358	Sample 1928.SRS011279.SRX020669.SRR045358			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	host-associated habitat		USA	human	700015271	38.98	-77.11	700015271	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011281.SRX020660.SRR044860	Sample 1928.SRS011281.SRX020660.SRR044860			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	host-associated habitat		USA	human	700015274	38.98	-77.11	700015274	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011281.SRX020668.SRR045088	Sample 1928.SRS011281.SRX020668.SRR045088			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	host-associated habitat		USA	human	700015274	38.98	-77.11	700015274	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011283.SRX020666.SRR044951	Sample 1928.SRS011283.SRX020666.SRR044951			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	host-associated habitat		USA	human	700015277	38.98	-77.11	700015277	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011283.SRX020669.SRR045329	Sample 1928.SRS011283.SRX020669.SRR045329			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	host-associated habitat		USA	human	700015277	38.98	-77.11	700015277	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011285.SRX020660.SRR047473	Sample 1928.SRS011285.SRX020660.SRR047473			UBERON:oral cavity	UBERON:saliva	UBERON:throat	97	urban biome	host-associated habitat		USA	human	700015280	38.98	-77.11	700015280	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011285.SRX020662.SRR045419	Sample 1928.SRS011285.SRX020662.SRR045419			UBERON:oral cavity	UBERON:saliva	UBERON:throat	97	urban biome	host-associated habitat		USA	human	700015280	38.98	-77.11	700015280	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011285.SRX020664.SRR045444	Sample 1928.SRS011285.SRX020664.SRR045444			UBERON:oral cavity	UBERON:saliva	UBERON:throat	97	urban biome	host-associated habitat		USA	human	700015280	38.98	-77.11	700015280	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011285.SRX020668.SRR045095	Sample 1928.SRS011285.SRX020668.SRR045095			UBERON:oral cavity	UBERON:saliva	UBERON:throat	97	urban biome	host-associated habitat		USA	human	700015280	38.98	-77.11	700015280	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011287.SRX020660.SRR044887	Sample 1928.SRS011287.SRX020660.SRR044887			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015283	38.98	-77.11	700015283	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011287.SRX020662.SRR045413	Sample 1928.SRS011287.SRX020662.SRR045413			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015283	38.98	-77.11	700015283	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
