name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title	host_common_name
1927.SRS056511.SRX020550.SRR046430	Sample 1927.SRS056511.SRX020550.SRR046430			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700103521	39	-77	700103521	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056515.SRX020567.SRR046767	Sample 1927.SRS056515.SRX020567.SRR046767			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700105108	39	-77	700105108	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056523.SRX020580.SRR047146	Sample 1927.SRS056523.SRX020580.SRR047146			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700105447	39	-77	700105447	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056529.SRX020670.SRR046251	Sample 1927.SRS056529.SRX020670.SRR046251			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700105429	39	-77	700105429	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056542.SRX022244.SRR058107	Sample 1927.SRS056542.SRX022244.SRR058107			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700107238	39	-77	700107238	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056561.SRX022224.SRR058087	Sample 1927.SRS056561.SRX022224.SRR058087			UBERON:vagina	UBERON:mucus	UBERON:vaginal introitus	97	urban biome	human-associated habitat		USA	700109378	39	-77	700109378	V3-V1	Vaginal swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056576.SRX022156.SRR058115	Sample 1927.SRS056576.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700109141	39	-77	700109141	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056606.SRX022241.SRR058097	Sample 1927.SRS056606.SRX022241.SRR058097			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700109835	39	-77	700109835	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056620.SRX020523.SRR046408	Sample 1927.SRS056620.SRX020523.SRR046408			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700106326	39	-77	700106326	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056664.SRX020568.SRR046879	Sample 1927.SRS056664.SRX020568.SRR046879			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700106976	39	-77	700106976	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056678.SRX022224.SRR058087	Sample 1927.SRS056678.SRX022224.SRR058087			UBERON:vagina	UBERON:mucus	UBERON:central vagina	97	urban biome	human-associated habitat		USA	700109380	39	-77	700109380	V3-V1	Vaginal swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056693.SRX020568.SRR046847	Sample 1927.SRS056693.SRX020568.SRR046847			UBERON:vagina	UBERON:mucus	UBERON:vaginal introitus	97	urban biome	human-associated habitat		USA	700105175	39	-77	700105175	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056694.SRX022225.SRR058088	Sample 1927.SRS056694.SRX022225.SRR058088			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700110411	39	-77	700110411	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056702.SRX020677.SRR047960	Sample 1927.SRS056702.SRX020677.SRR047960			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700102944	39	-77	700102944	V1-V3	Oral swab	BCM	Structure, function and diversity of the healthy human microbiome (V13)	Human
1927.SRS056724.SRX020567.SRR046683	Sample 1927.SRS056724.SRX020567.SRR046683			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700106792	39	-77	700106792	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)	Human
